vid,ts,lat,lon,speed
X0997116,2020-01-28 08:54:42,13.719482999999999,100.67395,45
X0997116,2020-01-28 08:55:48,13.718917000000001,100.67005,36
X0997116,2020-01-28 08:56:44,13.718383,100.66655,8
X0997116,2020-01-28 08:57:40,13.71785,100.66328299999999,40
X0997116,2020-01-28 08:58:46,13.716617000000001,100.65611700000001,39
X0997116,2020-01-28 09:01:42,13.713232999999999,100.64573299999999,26
X0997116,2020-01-28 09:04:39,13.71145,100.63915,30
X0997116,2020-01-28 09:05:43,13.711,100.636967,0
X0997116,2020-01-28 09:05:43,13.711,100.636967,0
X0997116,2020-01-28 09:09:44,13.710217000000002,100.63005,0
X0997116,2020-01-28 09:10:54,13.709917,100.62741700000001,27
X0997116,2020-01-28 09:11:37,13.7098,100.62611700000001,0
X0997116,2020-01-28 09:11:37,13.7098,100.62611700000001,0
X0997116,2020-01-28 09:14:48,13.709617000000001,100.624533,0
X0997116,2020-01-28 09:15:44,13.709582999999999,100.624083,6
X0997116,2020-01-28 09:16:40,13.70955,100.62378299999999,0
X0997116,2020-01-28 09:17:47,13.7095,100.623367,15
X0997116,2020-01-28 09:19:41,13.709183,100.62035,0
X0997116,2020-01-28 09:20:36,13.709183,100.62025,0
X0997116,2020-01-28 09:20:36,13.709183,100.62025,0
X0997116,2020-01-28 09:21:42,13.709082999999998,100.61925,11
X0997116,2020-01-28 09:23:38,13.708967000000001,100.61785,10
X0997116,2020-01-28 09:24:44,13.7091,100.61585,0
X0997116,2020-01-28 09:26:37,13.709632999999998,100.613517,0
X0997116,2020-01-28 09:27:43,13.710632999999998,100.611267,0
X0997116,2020-01-28 09:29:36,13.710967000000002,100.610683,15
X0997116,2020-01-28 09:29:36,13.710967000000002,100.610683,15
X0997116,2020-01-28 09:29:36,13.710967000000002,100.610683,15
X0997116,2020-01-28 10:02:22,13.719,100.669833,36
X0997116,2020-01-28 10:03:18,13.719817,100.67541700000001,40
X0997116,2020-01-28 10:04:14,13.720583,100.682233,41
X0997116,2020-01-28 10:12:14,13.721982999999998,100.707083,33
X0997116,2020-01-28 10:15:11,13.7222,100.721717,43
X0997116,2020-01-28 10:19:15,13.722567000000002,100.743383,58
X0997116,2020-01-28 10:20:13,13.72265,100.747883,37
X0997116,2020-01-28 10:21:10,13.722317000000002,100.75308299999999,42
X0997116,2020-01-28 10:23:13,13.72175,100.76826700000001,64
X0997116,2020-01-28 10:24:09,13.72185,100.7765,30
X0997116,2020-01-28 10:26:11,13.72195,100.78245,14
X0997116,2020-01-28 10:28:12,13.7214,100.791917,37
X0997116,2020-01-28 10:29:08,13.719717000000001,100.796617,15
